"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Possui Apoiador/Solicitante?";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"4167 - PAULO GUEDES";"0001";"Não se aplica";"MÚLTIPLO";"Saúde";"Assistência hospitalar e ambulatorial";"5018 - ATENCAO ESPECIALIZADA A SAUDE";"2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202241670001";"4.888.845,00";"4.888.845,00";"4.888.845,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"4045 - MARLON SANTOS";"0001";"Não se aplica";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS";"202240450001";"4.889.365,00";"2.669.682,50";"2.669.682,50";"2.219.682,50";"0,00";"2.219.682,50";
"2022";"Emenda Individual - Transferências Especiais";"4147 - IDILVAN ALENCAR";"0005";"Não se aplica";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS";"202241470005";"4.889.365,00";"2.444.682,50";"2.444.682,50";"2.444.682,50";"0,00";"2.444.682,50";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"3950 - DANIEL SILVEIRA";"0002";"Não se aplica";"MÚLTIPLO";"Saúde";"Atenção básica";"5019 - ATENCAO PRIMARIA A SAUDE";"2E89 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202239500002";"4.905.461,00";"4.905.461,00";"4.905.461,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"4087 - CARLOS VIANA";"0001";"Não se aplica";"MÚLTIPLO";"Saúde";"Atenção básica";"5019 - ATENCAO PRIMARIA A SAUDE";"2E89 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202240870001";"4.908.360,00";"4.776.772,00";"4.776.772,00";"131.588,00";"0,00";"131.588,00";
"2022";"Emenda Individual - Transferências Especiais";"3905 - ALENCAR SANTANA BRAGA";"0004";"Não se aplica";"MÚLTIPLO";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS";"202239050004";"4.919.682,00";"2.440.000,00";"2.440.000,00";"2.479.682,00";"0,00";"2.479.682,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"4050 - OSSESIO SILVA";"0008";"Não se aplica";"MÚLTIPLO";"Urbanismo";"infra-estrutura urbana";"2219 - MOBILIDADE URBANA";"00T1 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO VOLTADO A IMPLANTACAO E QUALIFICACAO VIARIA";"APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO VOLTADO A IMPLANTACAO E QUALIFICACAO VIARIA - DESPESAS DIVERSAS";"202240500008";"4.919.682,00";"0,00";"0,00";"4.919.682,00";"0,00";"4.919.682,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"2052 - ALVARO DIAS";"0006";"Não se aplica";"MÚLTIPLO";"Saúde";"Assistência hospitalar e ambulatorial";"5018 - ATENCAO ESPECIALIZADA A SAUDE";"2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202220520006";"4.927.984,00";"3.001.984,00";"3.001.984,00";"1.926.000,00";"0,00";"1.926.000,00";
"2022";"Emenda Individual - Transferências com Finalidade Definida";"3799 - ROMARIO";"0006";"Não se aplica";"RIO DE JANEIRO (UF)";"Educação";"Ensino superior";"5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202237990006";"4.939.680,00";"4.939.680,00";"4.939.680,00";"0,00";"0,00";"0,00";
"2022";"Emenda de Bancada";"7106 - BANCADA DA BAHIA";"0003";"Não se aplica";"MÚLTIPLO";"Saúde";"Assistência hospitalar e ambulatorial";"5018 - ATENCAO ESPECIALIZADA A SAUDE";"MU - Múltiplo";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS - DESPESAS DIVERSAS";"202271060003";"4.943.829,00";"2.343.829,00";"2.343.829,00";"2.600.000,00";"0,00";"2.600.000,00";
